probe,type,protocol,target,operation,100kHz,200kHz,300kHz,600kHz,1200kHz,2400kHz,4800kHz,10MHz,20MHz,40MHz,80MHz,100MHz,200MHz,RTT print throughput (max)
hsprobe (turbo),cmsis-dap,swd,stm32h743zi,write,,,20438.94,39216.7,77026.32,124953.29,180480.48,234279.5,273667.44,297095.31,296065.59,296213.88,300606.72,
hsprobe,cmsis-dap,swd,stm32h743zi,write,,,20409.033,39124.402,76525.17,122530.375,177960.67,230627.23,268729.22,289219.84,289188.28,289851.63,292235.94,
lpclink2,cmsis-dap,swd,stm32h743zi,write,12396.46,23875.29,34939.07,64798.73,106063.16,173807.39,290740.38,291387.84,292669.28,291483.19,292707.09,292750.56,255967.2,
mculink,cmsis-dap,swd,stm32h743zi,write,,15752.86,23271.32,42665.78,78767.87,113792.47,170726.39,204854.36,256071.06,256094.56,256107.33,256076.09,,
mculink-daplink,cmsis-dap,swd,stm32h743zi,write,7776.3,15064.48,22031.39,40977.64,69891.04,112608.31,153015.72,220427.27,220674.86,,,,,
usbc-pill,cmsis-dap,swd,stm32h743zi,write,6058.64,10778.17,13472.86,17653.96,25598.85,25598.71,25598.91,25598.82,25591.71,25598.96,25598.84,25599.09,25598.48,
rustyprobe,cmsis-dap,swd,stm32h743zi,write,6521.7046,12331.003,18093.9,27240.885,53791.07,53896.48,54248.86,54250.395,54332.625,54334.03,54251.69,54421.855,,
dappermime,cmsis-dap,swd,stm32h743zi,write,13473.65,17655.42,17655.94,25600.78,25600.54,25600.93,25601.8,25599.88,,,,,,
dap42,cmsis-dap,swd,stm32h743zi,write,25600.84,25601.3,25601.18,25601.16,25600.85,25601.11,25600.66,25600.86,25601.37,25601.33,25601.15,25601.09,25600.7,
microbit_v2,cmsis-dap,swd,stm32h743zi,write,7488.34,14204.05,20054.93,35981.7,54801.75,83174.02,96811.41,134961.39,133590.11,135489.16,134907.78,135395.84,134599.05,
rust-dap,cmsis-dap,swd,stm32h743zi,write,54610.434,55242.875,54899.98,54974.387,54976.51,55162.566,54870.938,55162.977,54978.066,55084.992,55436.094,55085.72,54976.88,
jlink,jlink,swd,stm32h743zi,write,7608.16,14724.74,21395.29,39070.08,66770.77,113439.27,,,,,,,,
stlink v2,stlink,swd,stm32h743zi,write,6933.09,10836.61,17266.77,32959.51,77297.33,98866.99,160579.48,159957.48,160278.42,160048.73,160643.23,160154.59,160397.89,
stlink v3,stlink,swd,stm32h743zi,write,,,17313.97,17314.21,83102,83092.06,255755.88,501059,500740.5,1106582.75,1107878.62,1110020,1107056.62,
hsprobe (turbo),cmsis-dap,swd,stm32h743zi,read,,,20438.94,39216.7,77026.32,124953.29,180480.48,234279.5,273667.44,297095.31,296065.59,296213.88,300606.72,226800
hsprobe,cmsis-dap,swd,stm32h743zi,read,,,20409.033,39124.402,76525.17,122530.375,177960.67,230627.23,268729.22,289219.84,289188.28,289851.63,292235.94,222768
lpclink2,cmsis-dap,swd,stm32h743zi,read,12396.46,23875.29,34939.07,64798.73,106063.16,173807.39,290740.38,291387.84,292669.28,291483.19,292707.09,292750.56,255967.2,178416
mculink,cmsis-dap,swd,stm32h743zi,read,,15752.86,23271.32,42665.78,78767.87,113792.47,170726.39,204854.36,256071.06,256094.56,256107.33,256076.09,,98784
mculink-daplink,cmsis-dap,swd,stm32h743zi,read,7776.3,15064.48,22031.39,40977.64,69891.04,112608.31,153015.72,220427.27,220674.86,,,,,194544
usbc-pill,cmsis-dap,swd,stm32h743zi,read,6058.64,10778.17,13472.86,17653.96,25598.85,25598.71,25598.91,25598.82,25591.71,25598.96,25598.84,25599.09,25598.48,19380
rustyprobe,cmsis-dap,swd,stm32h743zi,read,6521.7046,12331.003,18093.9,27240.885,53791.07,53896.48,54248.86,54250.395,54332.625,54334.03,54251.69,54421.855,,49896
dappermime,cmsis-dap,swd,stm32h743zi,read,13473.65,17655.42,17655.94,25600.78,25600.54,25600.93,25601.8,25599.88,,,,,,19380
dap42,cmsis-dap,swd,stm32h743zi,read,25600.84,25601.3,25601.18,25601.16,25600.85,25601.11,25600.66,25600.86,25601.37,25601.33,25601.15,25601.09,25600.7,19152
microbit_v2,cmsis-dap,swd,stm32h743zi,read,7488.34,14204.05,20054.93,35981.7,54801.75,83174.02,96811.41,134961.39,133590.11,135489.16,134907.78,135395.84,134599.05,123984
rust-dap,cmsis-dap,swd,stm32h743zi,read,54610.434,55242.875,54899.98,54974.387,54976.51,55162.566,54870.938,55162.977,54978.066,55084.992,55436.094,55085.72,54976.88,49392
jlink,jlink,swd,stm32h743zi,read,7834.56,14983.16,21575.79,38415.52,66700.49,96701.11,,,,,,,,31248
stlink v2,stlink,swd,stm32h743zi,read,7984.93,12427.45,19769.37,37431.26,85214.59,110239.44,180160.38,180122.69,179930.73,179970.77,179988.77,179637.08,180000.45,151200
stlink v3,stlink,swd,stm32h743zi,read,,,16814.59,16814.91,79437.7,79447.39,237948.36,453687.25,453493.88,761005.06,762074.94,762840.62,760838.12,483840
